,exchange,symbol,open_time_utc,open,high,low,close,volume
2023-03-07 05:26:00+00:00,coinbase,BTCEUR,2023-03-07 05:26:00,21016.12,21016.12,21016.12,21016.12,0.00755945
2023-03-07 05:27:00+00:00,coinbase,BTCEUR,2023-03-07 05:26:00,21016.12,21016.12,21016.12,21016.12,0.0
2023-03-07 05:28:00+00:00,coinbase,BTCEUR,2023-03-07 05:28:00,21016.12,21016.12,21013.89,21016.12,0.04383897
2023-03-07 05:29:00+00:00,coinbase,BTCEUR,2023-03-07 05:28:00,21016.12,21016.12,21013.89,21016.12,0.0
2023-03-07 05:30:00+00:00,coinbase,BTCEUR,2023-03-07 05:30:00,21016.12,21016.31,21012.84,21014.32,0.91259349
2023-03-07 05:31:00+00:00,coinbase,BTCEUR,2023-03-07 05:31:00,21014.32,21014.43,21013.01,21014.05,0.60939752
2023-03-07 05:32:00+00:00,coinbase,BTCEUR,2023-03-07 05:32:00,21015.53,21015.53,21015.28,21015.28,0.01460687
2023-03-07 05:33:00+00:00,coinbase,BTCEUR,2023-03-07 05:33:00,21016.38,21016.38,21014.87,21016.38,0.00125686
2023-03-07 05:34:00+00:00,coinbase,BTCEUR,2023-03-07 05:34:00,21014.2,21016.39,21014.2,21016.39,0.12436385
2023-03-07 05:35:00+00:00,coinbase,BTCEUR,2023-03-07 05:34:00,21014.2,21016.39,21014.2,21016.39,0.0
2023-03-07 05:36:00+00:00,coinbase,BTCEUR,2023-03-07 05:36:00,21016.71,21020.49,21016.71,21020.44,0.50516859
2023-03-07 05:37:00+00:00,coinbase,BTCEUR,2023-03-07 05:37:00,21021.12,21021.12,21015.45,21015.45,0.13259402
2023-03-07 05:38:00+00:00,coinbase,BTCEUR,2023-03-07 05:37:00,21021.12,21021.12,21015.45,21015.45,0.0
2023-03-07 05:39:00+00:00,coinbase,BTCEUR,2023-03-07 05:39:00,21015.3,21016.24,21015.3,21016.24,0.15
2023-03-07 05:40:00+00:00,coinbase,BTCEUR,2023-03-07 05:40:00,21016.23,21017.74,21016.23,21017.41,0.1308553
2023-03-07 05:41:00+00:00,coinbase,BTCEUR,2023-03-07 05:41:00,21019.07,21019.07,21019.07,21019.07,0.0016014
2023-03-07 05:42:00+00:00,coinbase,BTCEUR,2023-03-07 05:42:00,21018.63,21019.22,21018.63,21019.22,0.04268622
2023-03-07 05:43:00+00:00,coinbase,BTCEUR,2023-03-07 05:43:00,21021.5,21021.78,21020.62,21020.62,0.08556978
2023-03-07 05:44:00+00:00,coinbase,BTCEUR,2023-03-07 05:44:00,21020.62,21020.62,21010.02,21010.02,0.00487499
2023-03-07 05:45:00+00:00,coinbase,BTCEUR,2023-03-07 05:44:00,21020.62,21020.62,21010.02,21010.02,0.0
2023-03-07 05:46:00+00:00,coinbase,BTCEUR,2023-03-07 05:44:00,21020.62,21020.62,21010.02,21010.02,0.0
